compiler,architecture,device_label,circuit,logical_width,allocated_width,depth,total_ops,one_qubit_ops,two_qubit_ops,estimated_execution_seconds
sabre0330,eagle,ibm_sherbrooke,hamilsim16,16,127,336,691,652,39,2.529422222222228e-05
sabre0330,eagle,ibm_sherbrooke,hamilsim32,32,127,1466,2863,2678,185,0.0001127893333333331
sabre0330,eagle,ibm_sherbrooke,hamilsim4,4,127,63,127,121,6,4.053333333333332e-06
sabre0330,eagle,ibm_sherbrooke,hamilsim8,8,127,165,319,299,20,1.288533333333333e-05
sabre0330,eagle,ibm_sherbrooke,qaoa16,16,127,2843,12548,11675,873,0.0002073457777777774
sabre0330,eagle,ibm_sherbrooke,qaoa4,4,127,176,290,272,18,1.216e-05
sabre0330,eagle,ibm_sherbrooke,qaoa8,8,127,920,2112,1981,131,6.340266666666645e-05
sabre0330,eagle,ibm_sherbrooke,qft16,16,127,2610,9348,8715,633,0.000185365333333333
sabre0330,eagle,ibm_sherbrooke,qft32,32,127,6714,42016,39122,2894,0.0004787982222222123
sabre0330,eagle,ibm_sherbrooke,qft4,4,127,189,330,312,18,1.244444444444444e-05
sabre0330,eagle,ibm_sherbrooke,qft64,64,127,20210,197412,183660,13752,0.001512042666666905
sabre0330,eagle,ibm_sherbrooke,qft8,8,127,683,1732,1619,113,4.658488888888883e-05
sabre0330,eagle,ibm_sherbrooke,vqe16,16,127,261,672,639,33,2.169600000000003e-05
sabre0330,eagle,ibm_sherbrooke,vqe4,4,127,32,96,93,3,2.111999999999999e-06
sabre0330,eagle,ibm_sherbrooke,vqe8,8,127,103,296,286,10,6.983111111111107e-06
sabre0330,eagle,ibm_kyiv,hamilsim16,16,127,336,691,652,39,2.614044444444439e-05
sabre0330,eagle,ibm_kyiv,hamilsim32,32,127,1466,2863,2678,185,0.000114318222222223
sabre0330,eagle,ibm_kyiv,hamilsim4,4,127,63,127,121,6,4.160000000000001e-06
sabre0330,eagle,ibm_kyiv,hamilsim8,8,127,165,319,299,20,1.332622222222222e-05
sabre0330,eagle,ibm_kyiv,qaoa16,16,127,2843,12548,11675,873,0.0002126435555555538
sabre0330,eagle,ibm_kyiv,qaoa4,4,127,176,290,272,18,1.245866666666667e-05
sabre0330,eagle,ibm_kyiv,qaoa8,8,127,920,2112,1981,131,6.482488888888886e-05
sabre0330,eagle,ibm_kyiv,qft16,16,127,2610,9348,8715,633,0.0001895395555555549
sabre0330,eagle,ibm_kyiv,qft32,32,127,6714,42016,39122,2894,0.0004903537777777929
sabre0330,eagle,ibm_kyiv,qft4,4,127,189,330,312,18,1.260088888888889e-05
sabre0330,eagle,ibm_kyiv,qft64,64,127,20210,197412,183660,13752,0.001509333333333245
sabre0330,eagle,ibm_kyiv,qft8,8,127,683,1732,1619,113,4.792177777777767e-05
sabre0330,eagle,ibm_kyiv,vqe16,16,127,261,672,639,33,2.229333333333331e-05
sabre0330,eagle,ibm_kyiv,vqe4,4,127,32,96,93,3,2.133333333333334e-06
sabre0330,eagle,ibm_kyiv,vqe8,8,127,103,296,286,10,7.168000000000002e-06
sabre0330,eagle,ibm_brisbane,hamilsim16,16,127,336,691,652,39,3.063999999999998e-05
sabre0330,eagle,ibm_brisbane,hamilsim32,32,127,1466,2863,2678,185,0.0001340399999999993
sabre0330,eagle,ibm_brisbane,hamilsim4,4,127,63,127,121,6,4.86e-06
sabre0330,eagle,ibm_brisbane,hamilsim8,8,127,165,319,299,20,1.577999999999999e-05
sabre0330,eagle,ibm_brisbane,qaoa16,16,127,2843,12548,11675,873,0.0002485199999999994
sabre0330,eagle,ibm_brisbane,qaoa4,4,127,176,290,272,18,1.457999999999999e-05
sabre0330,eagle,ibm_brisbane,qaoa8,8,127,920,2112,1981,131,7.583999999999983e-05
sabre0330,eagle,ibm_brisbane,qft16,16,127,2610,9348,8715,633,0.0002221199999999993
sabre0330,eagle,ibm_brisbane,qft32,32,127,6714,42016,39122,2894,0.0005740800000000021
sabre0330,eagle,ibm_brisbane,qft4,4,127,189,330,312,18,1.487999999999999e-05
sabre0330,eagle,ibm_brisbane,qft64,64,127,20210,197412,183660,13752,0.001770260000000127
sabre0330,eagle,ibm_brisbane,qft8,8,127,683,1732,1619,113,5.666000000000012e-05
sabre0330,eagle,ibm_brisbane,vqe16,16,127,261,672,639,33,2.609999999999998e-05
sabre0330,eagle,ibm_brisbane,vqe4,4,127,32,96,93,3,2.519999999999999e-06
sabre0330,eagle,ibm_brisbane,vqe8,8,127,103,296,286,10,8.34e-06
sabre0330,heron,ibm_marrakesh,hamilsim16,16,156,310,547,487,60,6.88800000000001e-06
sabre0330,heron,ibm_marrakesh,hamilsim32,32,156,847,1886,1653,233,1.9924e-05
sabre0330,heron,ibm_marrakesh,hamilsim4,4,156,46,73,67,6,8.399999999999999e-07
sabre0330,heron,ibm_marrakesh,hamilsim8,8,156,106,182,165,17,2.128e-06
sabre0330,heron,ibm_marrakesh,qaoa16,16,156,1628,6716,5792,924,3.925999999999989e-05
sabre0330,heron,ibm_marrakesh,qaoa4,4,156,121,164,146,18,2.412000000000001e-06
sabre0330,heron,ibm_marrakesh,qaoa8,8,156,494,1093,950,143,1.079999999999998e-05
sabre0330,heron,ibm_marrakesh,qft16,16,156,1363,4461,3882,579,2.952400000000013e-05
sabre0330,heron,ibm_marrakesh,qft32,32,156,3242,22997,19938,3059,7.249599999999904e-05
sabre0330,heron,ibm_marrakesh,qft4,4,156,112,156,138,18,2.196e-06
sabre0330,heron,ibm_marrakesh,qft64,64,156,12717,105150,91020,14130,0.0002910679999999882
sabre0330,heron,ibm_marrakesh,qft8,8,156,364,857,750,107,7.520000000000012e-06
sabre0330,heron,ibm_marrakesh,vqe16,16,156,150,450,420,30,3.480000000000003e-06
sabre0330,heron,ibm_marrakesh,vqe4,4,156,30,81,78,3,5.279999999999999e-07
sabre0330,heron,ibm_marrakesh,vqe8,8,156,46,190,180,10,9.439999999999997e-07
sabre0330,heron,ibm_kingston,hamilsim16,16,156,310,547,487,60,6.575999999999994e-06
sabre0330,heron,ibm_kingston,hamilsim32,32,156,847,1886,1653,233,1.895600000000001e-05
sabre0330,heron,ibm_kingston,hamilsim4,4,156,46,73,67,6,7.92e-07
sabre0330,heron,ibm_kingston,hamilsim8,8,156,106,182,165,17,2.020000000000001e-06
sabre0330,heron,ibm_kingston,qaoa16,16,156,1628,6716,5792,924,3.750000000000008e-05
sabre0330,heron,ibm_kingston,qaoa4,4,156,121,164,146,18,2.364e-06
sabre0330,heron,ibm_kingston,qaoa8,8,156,494,1093,950,143,1.028400000000002e-05
sabre0330,heron,ibm_kingston,qft16,16,156,1363,4461,3882,579,2.82119999999999e-05
sabre0330,heron,ibm_kingston,qft32,32,156,3242,22997,19938,3059,6.945200000000093e-05
sabre0330,heron,ibm_kingston,qft4,4,156,112,156,138,18,2.088000000000001e-06
sabre0330,heron,ibm_kingston,qft64,64,156,12717,105150,91020,14130,0.0002774879999999738
sabre0330,heron,ibm_kingston,qft8,8,156,364,857,750,107,7.167999999999992e-06
sabre0330,heron,ibm_kingston,vqe16,16,156,150,450,420,30,3.319999999999999e-06
sabre0330,heron,ibm_kingston,vqe4,4,156,30,81,78,3,4.920000000000001e-07
sabre0330,heron,ibm_kingston,vqe8,8,156,46,190,180,10,8.919999999999999e-07
sabre0330,heron,ibm_aachen,hamilsim16,16,156,310,547,487,60,6.903999999999994e-06
sabre0330,heron,ibm_aachen,hamilsim32,32,156,847,1886,1653,233,2.0052e-05
sabre0330,heron,ibm_aachen,hamilsim4,4,156,46,73,67,6,7.92e-07
sabre0330,heron,ibm_aachen,hamilsim8,8,156,106,182,165,17,2.044000000000001e-06
sabre0330,heron,ibm_aachen,qaoa16,16,156,1628,6716,5792,924,4.18560000000002e-05
sabre0330,heron,ibm_aachen,qaoa4,4,156,121,164,146,18,2.28e-06
sabre0330,heron,ibm_aachen,qaoa8,8,156,494,1093,950,143,1.051200000000002e-05
